tx_id,user_id,amount,status,ip,device,date,reason
LEGIT_0,TRUSTED_USER_001,17.0,completed,1.1.1.1,iPhone_14_Pro,2025-06-01,
LEGIT_1,TRUSTED_USER_001,30.0,completed,1.1.1.1,iPhone_14_Pro,2025-06-06,
LEGIT_2,TRUSTED_USER_001,42.0,completed,1.1.1.1,iPhone_14_Pro,2025-06-11,
LEGIT_3,TRUSTED_USER_001,42.0,completed,1.1.1.1,iPhone_14_Pro,2025-06-16,
LEGIT_4,TRUSTED_USER_001,16.0,completed,1.1.1.1,iPhone_14_Pro,2025-06-21,
LEGIT_5,TRUSTED_USER_001,24.0,completed,1.1.1.1,iPhone_14_Pro,2025-06-26,
LEGIT_6,TRUSTED_USER_001,48.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-01,
LEGIT_7,TRUSTED_USER_001,49.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-06,
LEGIT_8,TRUSTED_USER_001,45.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-11,
LEGIT_9,TRUSTED_USER_001,36.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-16,
LEGIT_10,TRUSTED_USER_001,46.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-21,
LEGIT_11,TRUSTED_USER_001,45.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-26,
LEGIT_12,TRUSTED_USER_001,41.0,completed,1.1.1.1,iPhone_14_Pro,2025-07-31,
LEGIT_13,TRUSTED_USER_001,47.0,completed,1.1.1.1,iPhone_14_Pro,2025-08-05,
LEGIT_14,TRUSTED_USER_001,38.0,completed,1.1.1.1,iPhone_14_Pro,2025-08-10,
LEGIT_15,TRUSTED_USER_001,25.0,completed,1.1.1.1,iPhone_14_Pro,2025-08-15,
LEGIT_16,TRUSTED_USER_001,10.0,completed,1.1.1.1,iPhone_14_Pro,2025-08-20,
LEGIT_17,TRUSTED_USER_001,49.0,completed,1.1.1.1,iPhone_14_Pro,2025-08-25,
LEGIT_18,TRUSTED_USER_001,15.0,completed,1.1.1.1,iPhone_14_Pro,2025-08-30,
LEGIT_19,TRUSTED_USER_001,17.0,completed,1.1.1.1,iPhone_14_Pro,2025-09-04,
DISPUTE_TRAP,TRUSTED_USER_001,3500.0,disputed,1.1.1.1,iPhone_14_Pro,2026-01-15,Unrecognized Transaction
